model,epoch,train_loss,test_loss,test_accuracy
Baseline,31.0,0.33123902983135645,0.3454451858997345,0.9433333277702332
Baseline,32.0,0.32395004749298095,0.33582261204719543,0.9466666579246521
Baseline,33.0,0.3165652206208971,0.32873886823654175,0.9433333277702332
Baseline,34.0,0.3093853076299032,0.3233999013900757,0.9399999976158142
Baseline,35.0,0.3027702666653527,0.31661874055862427,0.9399999976158142
Baseline,36.0,0.2964197540283203,0.30925658345222473,0.9433333277702332
Baseline,37.0,0.29046953254275854,0.30415183305740356,0.9466666579246521
Baseline,38.0,0.2846689371267955,0.2983159124851227,0.9466666579246521
Baseline,39.0,0.2794132791625129,0.2940296232700348,0.949999988079071
Baseline,40.0,0.27421391328175865,0.28752753138542175,0.949999988079071
Baseline,41.0,0.26929444399144914,0.2823428213596344,0.95333331823349
Baseline,42.0,0.2647929259141286,0.277698278427124,0.95333331823349
Baseline,43.0,0.25974165154827966,0.27281656861305237,0.9466666579246521
Baseline,44.0,0.25538564185301466,0.2693534195423126,0.949999988079071
Baseline,45.0,0.2509470680024889,0.2658971846103668,0.9466666579246521
Baseline,46.0,0.24695350382063125,0.2611282467842102,0.95333331823349
Baseline,47.0,0.24290100322829353,0.25798872113227844,0.95333331823349
Baseline,48.0,0.23943685425652397,0.25414395332336426,0.949999988079071
Baseline,49.0,0.23556855413648817,0.25289586186408997,0.949999988079071
Baseline,50.0,0.23303865379757352,0.24803496897220612,0.9466666579246521
Baseline,51.0,0.22863834493690066,0.24436450004577637,0.9466666579246521
Baseline,52.0,0.2256361428896586,0.24205240607261658,0.9466666579246521
Baseline,53.0,0.22353460086716545,0.23849253356456757,0.95333331823349
Baseline,54.0,0.21889307922787138,0.2385438084602356,0.9466666579246521
Baseline,55.0,0.21631622089280023,0.23113182187080383,0.949999988079071
Baseline,56.0,0.21310707324080996,0.22870539128780365,0.95333331823349
Baseline,57.0,0.21027021606763205,0.22674189507961273,0.95333331823349
Baseline,58.0,0.20738031632370418,0.22576642036437988,0.9566666483879089
Baseline,59.0,0.20499780456225078,0.22005562484264374,0.9566666483879089
Baseline,60.0,0.2025569036271837,0.21800470352172852,0.949999988079071
Baseline,61.0,0.20039297302563985,0.2160111963748932,0.95333331823349
Baseline,62.0,0.19798720962471433,0.21421940624713898,0.9466666579246521
Baseline,63.0,0.19583249714639453,0.2108675241470337,0.9466666579246521
Baseline,64.0,0.19317720962895288,0.20840336382389069,0.95333331823349
Baseline,65.0,0.19101040230857003,0.20734018087387085,0.9466666579246521
Baseline,66.0,0.1884573056962755,0.20788145065307617,0.9466666579246521
Baseline,67.0,0.1862466686964035,0.20534813404083252,0.949999988079071
Baseline,68.0,0.18442132830619812,0.20326952636241913,0.95333331823349
Baseline,69.0,0.18272980795966254,0.1997113972902298,0.9566666483879089
Baseline,70.0,0.18023716304037307,0.19765464961528778,0.9566666483879089
Baseline,71.0,0.1780603814125061,0.19483113288879395,0.9566666483879089
Baseline,72.0,0.1766349787182278,0.19185838103294373,0.9599999785423279
Baseline,73.0,0.1745032462146547,0.19110225141048431,0.9566666483879089
Baseline,74.0,0.17304898579915365,0.1901421844959259,0.9466666579246521
Baseline,75.0,0.17133777724372015,0.18748341500759125,0.95333331823349
Baseline,76.0,0.16974659111764695,0.18500462174415588,0.9599999785423279
Baseline,77.0,0.16828842494222854,0.1817396581172943,0.9633333086967468
Baseline,78.0,0.16651309767531025,0.1807539165019989,0.9599999785423279
Baseline,79.0,0.1647714908917745,0.1809864491224289,0.949999988079071
Baseline,80.0,0.1646110064453549,0.18002770841121674,0.95333331823349
Baseline,81.0,0.16266483767165077,0.17754937708377838,0.9599999785423279
Baseline,82.0,0.16066525320212047,0.1768837869167328,0.9566666483879089
Baseline,83.0,0.15933735749787756,0.17440466582775116,0.9633333086967468
Baseline,84.0,0.15778752075301275,0.17225521802902222,0.9666666388511658
Baseline,85.0,0.15774503469467163,0.17389346659183502,0.949999988079071
Baseline,86.0,0.15604660762680903,0.16990631818771362,0.9566666483879089
Baseline,87.0,0.15387950221697488,0.16757145524024963,0.9666666388511658
Baseline,88.0,0.15267535222901238,0.17035377025604248,0.949999988079071
Baseline,89.0,0.15103679749700757,0.1651913821697235,0.9666666388511658
Baseline,90.0,0.14981481439537472,0.1635456532239914,0.9666666388511658
Baseline,91.0,0.1489037991894616,0.16392256319522858,0.9633333086967468
Baseline,92.0,0.14773981226815117,0.16124200820922852,0.9666666388511658
Baseline,93.0,0.14638023164537217,0.16047175228595734,0.9666666388511658
Baseline,94.0,0.1451184746871392,0.15954063832759857,0.9666666388511658
Baseline,95.0,0.1440416611565484,0.15884245932102203,0.9633333086967468
Baseline,96.0,0.14292707895239196,0.15810345113277435,0.9633333086967468
Baseline,97.0,0.14218511515193516,0.15669593214988708,0.9599999785423279
Baseline,98.0,0.14152196963628133,0.15541338920593262,0.9566666483879089
Baseline,99.0,0.14049746056397755,0.1539478600025177,0.9666666388511658
Baseline,100.0,0.13881760279337566,0.1549464911222458,0.9566666483879089
Baseline,101.0,0.1384408296810256,0.15335656702518463,0.9599999785423279
Baseline,102.0,0.1370959494345718,0.1509678214788437,0.9700000286102295
Baseline,103.0,0.13608433758219082,0.15103963017463684,0.9666666388511658
Baseline,104.0,0.13528023739655812,0.15190860629081726,0.9566666483879089
Baseline,105.0,0.13458839219477442,0.14972859621047974,0.9633333086967468
Baseline,106.0,0.13356505220135054,0.14861594140529633,0.9633333086967468
Baseline,107.0,0.13229056116607454,0.14795070886611938,0.9633333086967468
Baseline,108.0,0.13137743713541164,0.14683972299098969,0.9633333086967468
Baseline,109.0,0.13061101622051663,0.149558424949646,0.9599999785423279
Baseline,110.0,0.1314358303281996,0.15268294513225555,0.949999988079071
Baseline,111.0,0.132151237088773,0.14644595980644226,0.9599999785423279
Baseline,112.0,0.12887858988510237,0.14473864436149597,0.9666666388511658
Baseline,113.0,0.1279476726717419,0.1449318379163742,0.9599999785423279
Baseline,114.0,0.12712193406290478,0.14345349371433258,0.9599999785423279
Baseline,115.0,0.126016234225697,0.14160394668579102,0.9633333086967468
Baseline,116.0,0.12522976418336232,0.13751043379306793,0.9733333587646484
Baseline,117.0,0.12497237841288249,0.14007972180843353,0.9633333086967468
Baseline,118.0,0.1241821293036143,0.13936632871627808,0.9666666388511658
Baseline,119.0,0.12358758800559573,0.1374373435974121,0.9666666388511658
Baseline,120.0,0.12239407302604781,0.13538171350955963,0.9766666889190674
Improved,1.0,0.5395301778448952,0.3083736300468445,0.9633333086967468
Improved,2.0,0.19474655802879068,0.11282497644424438,0.9700000286102295
Improved,3.0,0.10282152822034227,0.10102277249097824,0.95333331823349
Improved,4.0,0.08815567092970014,0.0802406445145607,0.9599999785423279
Improved,5.0,0.06834274841679468,0.08283432573080063,0.9666666388511658
Improved,6.0,0.09160283555587133,0.09035663306713104,0.9466666579246521
Improved,7.0,0.08455703840888519,0.2017500400543213,0.9399999976158142
Improved,8.0,0.09514119995169393,0.05408703535795212,0.9800000190734863
Improved,9.0,0.06698687589623861,0.06574542075395584,0.9700000286102295
Improved,10.0,0.05271323938129677,0.07256390899419785,0.9633333086967468
Improved,11.0,0.05177683937156366,0.06514908373355865,0.9633333086967468
Improved,12.0,0.056631295585797894,0.09051292389631271,0.9433333277702332
Improved,13.0,0.051421965716613664,0.1055527850985527,0.9399999976158142
Improved,14.0,0.051224622360120216,0.04914909228682518,0.9866666793823242
Improved,15.0,0.055436483000715575,0.12199508398771286,0.9399999976158142
Improved,16.0,0.064246782693598,0.0627407357096672,0.95333331823349
Improved,17.0,0.0506264583269755,0.055787570774555206,0.9700000286102295
Improved,18.0,0.04599343140898782,0.07828154414892197,0.9733333587646484
Improved,19.0,0.07228887186566782,0.04602288454771042,0.9766666889190674
Improved,20.0,0.05124764399041952,0.05352896451950073,0.9833333492279053
Improved,21.0,0.052683578117026224,0.10919579863548279,0.9666666388511658
Improved,22.0,0.1299663069513109,0.059482473880052567,0.9800000190734863
Improved,23.0,0.1472159485022227,0.14279450476169586,0.9399999976158142
Improved,24.0,0.1041333844140172,0.09691132605075836,0.9599999785423279
Improved,25.0,0.07763692672053973,0.07345237582921982,0.9766666889190674
Improved,26.0,0.05139896790186564,0.05808720365166664,0.9700000286102295
Improved,27.0,0.05530625639690293,0.043993983417749405,0.9866666793823242
Improved,28.0,0.04845004787047704,0.06332028657197952,0.9766666889190674
Improved,29.0,0.05519439751178854,0.0796772912144661,0.949999988079071
Improved,30.0,0.053772001067797344,0.06445848196744919,0.9599999785423279
Improved,31.0,0.0916058000922203,0.04694707691669464,0.9766666889190674
Improved,32.0,0.06490674575169882,0.053804561495780945,0.9766666889190674
Improved,33.0,0.09584537433124043,0.08864711970090866,0.9599999785423279
Improved,34.0,0.07531302290658157,0.04759789630770683,0.9900000095367432
Improved,35.0,0.04844260770479903,0.05109569430351257,0.9900000095367432
Improved,36.0,0.0448639855440706,0.04838040843605995,0.9900000095367432
Improved,37.0,0.040006223453415764,0.06170867756009102,0.9633333086967468
Improved,38.0,0.05578048247016139,0.057602494955062866,0.9733333587646484
Improved,39.0,0.04174232873651716,0.053015757352113724,0.9633333086967468
Improved,40.0,0.07011649224493238,0.10228437930345535,0.9700000286102295
Improved,41.0,0.11318681034776899,0.09936198592185974,0.9566666483879089
Improved,42.0,0.0674123225438719,0.06800432503223419,0.95333331823349
Improved,43.0,0.04258716190854708,0.06526428461074829,0.9700000286102295
Improved,44.0,0.042250806551649776,0.05759752169251442,0.9666666388511658
Improved,45.0,0.03815096473114358,0.04409430921077728,0.9933333396911621
Improved,46.0,0.0322031316264636,0.04242786392569542,0.9800000190734863
Improved,47.0,0.032515777250130974,0.036844633519649506,0.9933333396911621
Improved,48.0,0.03804820381104946,0.035273171961307526,0.9900000095367432
Improved,49.0,0.03714879489607281,0.06182493269443512,0.9700000286102295
Improved,50.0,0.052870804472929904,0.05489959195256233,0.9733333587646484
Improved,51.0,0.03175349259749055,0.06464583426713943,0.95333331823349
Improved,52.0,0.04033314125715858,0.047156140208244324,0.9733333587646484
Improved,53.0,0.04345840208916343,0.04172368720173836,0.9833333492279053
Improved,54.0,0.03749722906284862,0.05558022856712341,0.9766666889190674
Improved,55.0,0.03970745517147912,0.04064537212252617,0.9800000190734863
Improved,56.0,0.149460267888174,0.2488405406475067,0.9333333373069763
Improved,57.0,0.08444709219297188,0.056439951062202454,0.9866666793823242
Improved,58.0,0.05080039030147923,0.05796431750059128,0.9666666388511658
Improved,59.0,0.03895917581187354,0.05327574163675308,0.9700000286102295
Improved,60.0,0.032476022243499755,0.050602987408638,0.9733333587646484
Improved,61.0,0.03518261407527866,0.051354072988033295,0.9700000286102295
Improved,62.0,0.037244419833231304,0.03939681127667427,0.9866666793823242
Improved,63.0,0.02895253766845498,0.0454740971326828,0.9766666889190674
Improved,64.0,0.02976293486481558,0.05218489095568657,0.9833333492279053
Improved,65.0,0.032427257735075224,0.04160734638571739,0.9766666889190674
Improved,66.0,0.029454334076080058,0.05546091869473457,0.9766666889190674
Improved,67.0,0.03199100016305844,0.03587557375431061,0.9866666793823242
Improved,68.0,0.02777215756210757,0.046124376356601715,0.9766666889190674
Improved,69.0,0.03469361234934897,0.033146075904369354,0.9900000095367432
Improved,70.0,0.02551333486982104,0.057940781116485596,0.9566666483879089
Improved,71.0,0.033181748158401914,0.05228776857256889,0.9666666388511658
Improved,72.0,0.026233661141660477,0.040693499147892,0.9766666889190674
Improved,73.0,0.11471916040612591,0.19226081669330597,0.9399999976158142
Improved,74.0,0.062269847376479046,0.10891249030828476,0.95333331823349
Improved,75.0,0.07553411801656036,0.06697482615709305,0.9666666388511658
Improved,76.0,0.04114835527208116,0.06384814530611038,0.9666666388511658
Improved,77.0,0.09166923192640146,0.11564191430807114,0.9599999785423279
Improved,78.0,0.06826050334506552,0.1160370409488678,0.949999988079071
Improved,79.0,0.04156110253598955,0.04398876801133156,0.9866666793823242
Improved,80.0,0.10368491192865703,0.07782235741615295,0.9599999785423279
Improved,81.0,0.05126659953837386,0.061265118420124054,0.9766666889190674
Improved,82.0,0.043661581095721984,0.03914906084537506,0.9900000095367432
Improved,83.0,0.03144255763812301,0.04216855391860008,0.9833333492279053
Improved,84.0,0.0328813679350747,0.05354300141334534,0.9766666889190674
Improved,85.0,0.17255122075478235,0.14248493313789368,0.9466666579246521
Improved,86.0,0.060091569155920295,0.045266859233379364,0.9766666889190674
Improved,87.0,0.04513825691408581,0.047471437603235245,0.9766666889190674
Improved,88.0,0.0371057023640929,0.0591212660074234,0.9666666388511658
Improved,89.0,0.03062750215202363,0.048612080514431,0.9866666793823242
Improved,90.0,0.03684999194410112,0.09131696075201035,0.9666666388511658
Improved,91.0,0.04292041509787345,0.04368513822555542,0.9833333492279053
Improved,92.0,0.03219741554335794,0.05834836885333061,0.9666666388511658
Improved,93.0,0.028241937690311008,0.044171128422021866,0.9733333587646484
Improved,94.0,0.07017511059694596,0.05766987428069115,0.9766666889190674
Improved,95.0,0.04435185677475399,0.05887053161859512,0.9599999785423279
Improved,96.0,0.04700799822807236,0.03676239773631096,0.9833333492279053
Improved,97.0,0.027973207930723828,0.032422225922346115,0.9933333396911621
Improved,98.0,0.027461342016855874,0.05299704521894455,0.9666666388511658
Improved,99.0,0.09863082614209916,0.13806651532649994,0.9399999976158142
Improved,100.0,0.06234678864479065,0.0327296182513237,0.9933333396911621
Improved,101.0,0.055776648292731906,0.1320704221725464,0.9433333277702332
Improved,102.0,0.03592622531846347,0.032563500106334686,0.9900000095367432
Improved,103.0,0.02945139169382552,0.05837765336036682,0.9700000286102295
Improved,104.0,0.03145683197925488,0.029878301545977592,0.996666669845581
Improved,105.0,0.025208599103821634,0.040787652134895325,0.9866666793823242
Improved,106.0,0.024766292373300934,0.03076738677918911,0.996666669845581
Improved,107.0,0.023859032339306495,0.033061522990465164,0.9900000095367432
Improved,108.0,0.024361456450488834,0.07096580415964127,0.95333331823349
Improved,109.0,0.026463141689697902,0.02931802161037922,0.9866666793823242
Improved,110.0,0.04482500516706043,0.0601009801030159,0.9566666483879089
Improved,111.0,0.18729017277558627,0.08241761475801468,0.9700000286102295
Improved,112.0,0.06650543559096857,0.045248351991176605,0.9833333492279053
Improved,113.0,0.038936013082663215,0.07863602042198181,0.9599999785423279
Improved,114.0,0.03640639693398649,0.03765764832496643,0.9933333396911621
Improved,115.0,0.03111992295414287,0.04198003187775612,0.9900000095367432
Improved,116.0,0.02938758706053098,0.044765014201402664,0.9766666889190674
Improved,117.0,0.028030962485613094,0.04950607568025589,0.9733333587646484
Improved,118.0,0.025823645674520068,0.042327601462602615,0.9800000190734863
Improved,119.0,0.023960486513533396,0.050588347017765045,0.9700000286102295
Improved,120.0,0.02379813886076186,0.03342828154563904,0.9933333396911621
